disease_id	cmpds_per_disease	top10	top25	top50	top100	topAll	top1%	top5%	top10%	top50%	top100%	disease_name
MESH:D009202	74	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Cardiomyopathies
MESH:D001172	70	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Arthritis, Rheumatoid
MESH:D005334	69	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Fever
MESH:D000647	69	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Amnesia
MESH:D006528	68	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Carcinoma, Hepatocellular
MESH:D050197	67	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Atherosclerosis
MESH:D009069	67	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Movement Disorders
MESH:D013276	66	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Stomach Ulcer
MESH:D010190	66	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Pancreatic Neoplasms
MESH:D008881	63	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Migraine Disorders
MESH:D000230	63	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Adenocarcinoma
MESH:D017202	62	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Myocardial Ischemia
MESH:D013203	61	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Staphylococcal Infections
MESH:D009101	60	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Multiple Myeloma
MESH:D005355	60	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Fibrosis
MESH:D015427	59	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Reperfusion Injury
MESH:D011183	59	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Postoperative Complications
MESH:D010051	59	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Ovarian Neoplasms
MESH:D008106	59	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Liver Cirrhosis, Experimental
MESH:D006470	59	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Hemorrhage
MESH:D006331	59	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Heart Diseases
MESH:D001249	59	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Asthma
MESH:D001523	58	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Mental Disorders
MESH:D051437	57	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Renal Insufficiency
MESH:D017180	57	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Tachycardia, Ventricular
MESH:D015179	57	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Colorectal Neoplasms
MESH:D007333	57	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Insulin Resistance
MESH:D001424	57	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Bacterial Infections
MESH:D014839	56	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Vomiting
MESH:D011618	56	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Psychotic Disorders
MESH:D008325	56	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Mammary Neoplasms, Experimental
MESH:D008103	56	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Liver Cirrhosis
MESH:D001749	56	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Urinary Bladder Neoplasms
MESH:D000419	56	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Albuminuria
MESH:D003865	55	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Depressive Disorder, Major
MESH:D002545	55	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Brain Ischemia
MESH:D001930	55	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Brain Injuries
MESH:D020734	54	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Parkinsonian Disorders
MESH:D010300	54	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Parkinson Disease
MESH:D007859	54	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Learning Disabilities
MESH:D000787	54	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Angina Pectoris
MESH:D015470	53	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Leukemia, Myeloid, Acute
MESH:D011654	53	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Pulmonary Edema
MESH:D014693	52	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Ventricular Fibrillation
MESH:D009207	52	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Myoclonus
MESH:D006976	52	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Hypertension, Pulmonary
MESH:D005234	52	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Fatty Liver
MESH:D004827	52	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Epilepsy
MESH:D013927	51	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Thrombosis
MESH:D011014	51	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Pneumonia
MESH:D003928	51	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Diabetic Nephropathies
MESH:D009361	50	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Neoplasm Invasiveness
MESH:D006937	50	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Hypercholesterolemia
MESH:D017379	49	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Hypertrophy, Left Ventricular
MESH:D007938	49	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Leukemia
MESH:D006965	49	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Hyperplasia
MESH:D003967	49	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Diarrhea
MESH:D001281	49	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Atrial Fibrillation
MESH:D014552	48	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Urinary Tract Infections
MESH:D009765	47	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Obesity
MESH:D005910	47	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Glioma
MESH:D005909	47	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Glioblastoma
MESH:D002289	47	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Carcinoma, Non-Small-Cell Lung
MESH:D000544	47	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Alzheimer Disease
MESH:D008113	46	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Liver Neoplasms
MESH:D013274	45	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Stomach Neoplasms
MESH:D013226	45	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Status Epilepticus
MESH:D009127	45	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Muscle Rigidity
MESH:D006949	45	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Hyperlipidemias
MESH:D002318	44	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Cardiovascular Diseases
MESH:D002277	44	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Carcinoma
MESH:D054198	43	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Precursor Cell Lymphoblastic Leukemia-Lymphoma
MESH:D015430	43	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Weight Gain
MESH:D011565	43	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Psoriasis
MESH:D006261	43	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Headache
MESH:D004421	43	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Dystonia
MESH:D002294	43	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Carcinoma, Squamous Cell
MESH:D010554	42	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Personality Disorders
MESH:D004697	42	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Endocarditis, Bacterial
MESH:D003924	42	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Diabetes Mellitus, Type 2
MESH:D011041	41	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Poisoning
MESH:D007319	41	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Sleep Initiation and Maintenance Disorders
MESH:D004195	41	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Disease Models, Animal
MESH:D020521	40	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Stroke
MESH:D015428	40	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Myocardial Reperfusion Injury
MESH:D011595	40	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Psychomotor Agitation
MESH:D003921	40	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Diabetes Mellitus, Experimental
MESH:D009437	39	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Neuralgia
MESH:D007511	39	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Ischemia
MESH:D003092	39	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Colitis
MESH:D003324	38	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Coronary Artery Disease
MESH:D015658	37	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	HIV Infections
MESH:D012878	37	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Skin Neoplasms
MESH:D012772	37	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Shock, Septic
MESH:D010523	37	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Peripheral Nervous System Diseases
MESH:D009422	37	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Nervous System Diseases
MESH:D011658	36	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Pulmonary Fibrosis
MESH:D010003	36	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Osteoarthritis
MESH:D008228	36	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Lymphoma, Non-Hodgkin
MESH:D007172	36	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Erectile Dysfunction
MESH:D018805	35	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Sepsis
MESH:D018476	35	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Hypokinesia
MESH:D009325	35	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Nausea
MESH:D009135	35	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Muscular Diseases
MESH:D008223	34	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Lymphoma
MESH:D008114	34	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Liver Neoplasms, Experimental
MESH:D003556	34	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Cystitis
MESH:D055371	33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Acute Lung Injury
MESH:D050171	33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Dyslipidemias
MESH:D011605	33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Psychoses, Substance-Induced
MESH:D002389	33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Catatonia
MESH:D020820	32	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Dyskinesias
MESH:D005923	32	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Glomerulosclerosis, Focal Segmental
MESH:D004927	32	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Escherichia coli Infections
MESH:D001321	32	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Autistic Disorder
MESH:D020258	31	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Neurotoxicity Syndromes
MESH:D015228	31	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Hypertriglyceridemia
MESH:D006689	31	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Hodgkin Disease
MESH:D006529	31	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Hepatomegaly
MESH:D005921	31	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Glomerulonephritis
MESH:D001289	31	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Attention Deficit Disorder with Hyperactivity
MESH:D019969	30	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Amphetamine-Related Disorders
MESH:D011537	30	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Pruritus
MESH:D008107	30	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Liver Diseases
MESH:D007035	30	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Hypothermia
MESH:D006212	30	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Hallucinations
MESH:D001929	30	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Brain Edema
MESH:D029424	29	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Pulmonary Disease, Chronic Obstructive
MESH:D013290	29	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Streptococcal Infections
MESH:D010243	29	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Paralysis
MESH:D002471	29	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Cell Transformation, Neoplastic
MESH:D001168	29	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Arthritis
MESH:D053201	28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Urinary Bladder, Overactive
MESH:D019954	28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Neurobehavioral Manifestations
MESH:D013035	28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Spasm
MESH:D012141	28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Respiratory Tract Infections
MESH:D006940	28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Hyperemia
MESH:D003327	28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Coronary Disease
MESH:D002779	28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Cholestasis
MESH:D016920	27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Meningitis, Bacterial
MESH:D016584	27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Panic Disorder
MESH:D016470	27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Bacteremia
MESH:D014581	27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Urticaria
MESH:D013272	27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Stomach Diseases
MESH:D010302	27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Parkinson Disease, Secondary
MESH:D010024	27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Osteoporosis
MESH:D006258	27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Head and Neck Neoplasms
MESH:D004830	27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Epilepsy, Tonic-Clonic
MESH:D002311	27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Cardiomyopathy, Dilated
MESH:D014456	26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Ulcer
MESH:D012893	26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Sleep Wake Disorders
MESH:D011230	26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Precancerous Conditions
MESH:D009389	26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Neovascularization, Pathologic
MESH:D008654	26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Mesothelioma
MESH:D008288	26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Malaria
MESH:D006946	26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Hyperinsulinism
MESH:D006192	26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Haemophilus Infections
MESH:D003929	26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Diabetic Neuropathies
MESH:D003920	26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Diabetes Mellitus
MESH:D003093	26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Colitis, Ulcerative
MESH:D002292	26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Carcinoma, Renal Cell
MESH:D055370	25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Lung Injury
MESH:D020250	25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Postoperative Nausea and Vomiting
MESH:D018754	25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Ventricular Dysfunction
MESH:D018410	25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Pneumonia, Bacterial
MESH:D015473	25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Leukemia, Promyelocytic, Acute
MESH:D015464	25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Leukemia, Myelogenous, Chronic, BCR-ABL Positive
MESH:D012871	25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Skin Diseases
MESH:D010019	25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Osteomyelitis
MESH:D009798	25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Ocular Hypertension
MESH:D009447	25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Neuroblastoma
MESH:D009404	25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Nephrotic Syndrome
MESH:D008180	25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Lupus Erythematosus, Systemic
MESH:D007945	25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Leukemia, Lymphoid
MESH:D004681	25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Encephalomyelitis, Autoimmune, Experimental
MESH:D001932	25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Brain Neoplasms
MESH:D001169	25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Arthritis, Experimental
MESH:D000437	25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Alcoholism
MESH:D018149	24	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Glucose Intolerance
MESH:D017116	24	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Low Back Pain
MESH:D016778	24	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Malaria, Falciparum
MESH:D014376	24	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Tuberculosis
MESH:D013617	24	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Tachycardia, Supraventricular
MESH:D007024	24	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Hypotension, Orthostatic
MESH:D006977	24	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Hypertension, Renal
MESH:D002295	24	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Carcinoma, Transitional Cell
